2009-2010 Fall Enrollment by Home Primary Language by District,,,,,,,,,,,
Source: MARSS Fall FY10,,,,,,,,,,,
,,,,,,,,,,,
fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,startaName
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,LITHUANIAN                    ,031,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,PERSIAN                       ,013,13,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,OROMO                         ,074,117,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,MACEDONIAN                    ,089,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,NOT SPECIFIC                  ,052,77,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,BURMESE                       ,055,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CUTCHI                        ,010,42,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,RWANDA/SOTHO/ZULU                        ,093,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,AMHARIC                       ,063,32,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,YORUBA                        ,075,41,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,TURKISH                       ,048,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,DANISH                        ,009,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,HAUSA                         ,066,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,RUSSIAN                       ,040,403,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
