submissionCode,fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Punjabi,117,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Krahn,281,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Fanti ,159,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Ndebele,099,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bassa,146,16,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Urdu,122,29,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Pashto ,060,10,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kabyle ,078,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kikuyu,270,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Maasai,294,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Urhobo,384,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Swedish,046,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Czech,004,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Tigrinya,071,12,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Ga,160,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kamba,088,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Adangme,083,20,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Not Specific,052,113,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Moldovan,315,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Balinese,086,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Gujarati,112,12,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Fang,229,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Ganda, Luganda ",095,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Twi,161,25,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Farsi ,013,14,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
