Submission Code,Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Igala,253,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Romanian,039,18,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kru,282,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Somali,069,391,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Xhosa,397,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Haitian Creole,085,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Edo,139,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Jingpho,257,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Vietnamese,051,478,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Telugu,119,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Chamor,084,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Filipino, Pilipino",126,28,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bambara,091,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Japanese,024,12,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Fulah,066,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Herero,248,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Wolof,094,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Nyanja,330,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Iu Mien  ,061,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Indonesian, Bahasa Indonesian",032,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Grebo,077,57,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kurux,284,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Malayalam,115,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Polish,037,12,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Armenian,003,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Sign Language, ASL",042,15,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Estonian,012,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kannada ,113,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Mano,297,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Amharic,063,101,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Mapudungun,306,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Belle,195,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bilen,198,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Balinese,086,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Harari,137,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Gola,243,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Apache,436,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Dakota,008,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Maay,100,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bulgarian,064,9,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Khmer, Cambodian ",005,35,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Mina,431,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Pashto ,060,25,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Farsi ,013,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Arabic,002,486,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Lao, Laotian ",028,147,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Dan,147,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Korean,026,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Saurashtra,432,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Garifuna,152,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
