2019-20 Primary Home Language Totals,,,,,,,,,,,,
Submission Code,Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
F,19-20,0011,01,Anoka-Hennepin Public School District,Susu,364,9,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,French,015,126,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Tigre,145,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Gujarati,112,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Igbo,065,42,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,"Swahili, Kiswahili ",070,192,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Tagalog,375,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Turkish,048,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Amharic,063,84,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Mano,297,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Akan ,156,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Harari,137,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Thai,047,10,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Afrikaans,001,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Hindi ,019,21,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Mende,150,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Bisaya,417,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
