sub_cde,dat_yer,dst_num,dst_tye,district,language,homprm_lng,k12count,d_county,county,eco_dev,stratanum,strata
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CZECH,004,2,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,DUTCH,033,3,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ENGLISH,011,35914,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"ENGLISH, CREOLIZED",057,56,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,FINNISH,014,2,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,FRENCH,015,41,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,GERMAN,017,16,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,HAUSA,066,3,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,HEBREW,018,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,HINDI,019,55,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,HMONG,020,1346,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,IBO,065,32,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,INDONESIAN,032,3,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ITALIAN,023,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,JAPANESE,024,10,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,KAMBA,088,8,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,KOREAN,026,35,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,KRIO,077,307,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,LAOTIAN,028,164,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,LINGOLA,067,2,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,LITHUANIAN,031,4,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,MACEDONIAN,089,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,NORWEGIAN,034,3,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,NOT AVAILABLE,053,8,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,NOT SPECIFIC,052,54,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,NUER,076,43,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,OROMO,074,72,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,PAMPA,079,3,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,PERSIAN,013,18,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,POLISH,037,19,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,PORTUGUESE,038,7,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ROMANIAN,039,34,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,RUSSIAN,040,368,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,RWANDA,093,4,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SERBO-CROATIAN,041,97,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SIGN LANGUAGE,042,32,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SOMALI,069,61,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SPANISH,045,793,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SWAHILI,070,96,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SWEDISH,046,3,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,THAI,047,8,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,TIBETAN,073,5,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,TURKISH,048,2,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,UKRANIAN,049,112,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,VIETNAMESE,051,322,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,YAO,061,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,YORUBA,075,51,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,AFRIKAANS,001,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,AMHARIC,063,12,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,ARABIC,002,3,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,CHINESE,007,4,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,DUTCH,033,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,ENGLISH,011,6685,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,FRENCH,015,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,GERMAN,017,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,HINDI,019,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,HMONG,020,125,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,INDONESIAN,032,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,JAPANESE,024,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,KRIO,077,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,LAOTIAN,028,6,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,LEBANESE,030,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,OROMO,074,2,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,PERSIAN,013,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,POLISH,037,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,ROMANIAN,039,2,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,RUSSIAN,040,4,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,SLOVAK,043,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,SOMALI,069,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,SPANISH,045,58,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,SWAHILI,070,4,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,TIGRINYA,071,3,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,UKRANIAN,049,4,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,VIETNAMESE,051,19,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,ADANGME,083,2,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,AFGHAN,060,2,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
