fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Mano. Mah ,297,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Ndebele,099,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Sign Language, ASL",042,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Haitian Creole,085,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Hindi ,019,46,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Burmese,055,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Pashto ,060,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Korean,026,21,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kannada ,113,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Dan,147,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Gio,242,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Romanian,039,43,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Afrikaans,001,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Chinese, Mandarin ",007,75,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Cantonese,108,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Gola,243,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Iban,251,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Ukrainian,049,91,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"English, Creolized",057,30,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Portuguese,038,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Moldovan,315,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,Bengali,010,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,"Swahili, Kiswahili ",070,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,"Oromo, Afan Oromo, Oromiffa ",074,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,English,011,6171,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
