,,,,,,,,,,,
fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Korean,026,23,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Kyrghyz,286,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,"Lao, Laotian ",028,157,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Lingala,067,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Lithuanian,031,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Mandingo,302,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Ndebele,099,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Norwegian,034,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Not Specific,052,95,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Nuer,076,31,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,"Oromo, Afan Oromo, Oromiffa ",074,131,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Polish,037,15,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Portuguese,038,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Romanian,039,45,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Russian,040,391,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Rwanda,093,7,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,"Sign Language, ASL",042,10,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Slovak,043,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Somali,069,111,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Spanish,045,965,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,"Swahili, Kiswahili ",070,153,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Swedish,046,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Thai,047,14,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Tibetan,073,10,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Tigrinya,071,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Turkish,048,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Twi,161,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Ukrainian,049,105,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Vietnamese,051,406,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Wolof,094,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Yoruba,075,38,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Afrikaans,001,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Amharic,063,11,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Arabic,002,5,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Bengali,010,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Bosnian,041,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Cebuano,036,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,"Chinese, Mandarin ",007,8,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,English,011,6296,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Farsi ,013,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,French,015,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,"Ganda, Luganda ",095,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,German,017,15,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Hindi ,019,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Hmong,020,98,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Hungarian,021,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Japanese,024,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,"Khmer, Cambodian ",005,6,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Korean,026,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,"Lao, Laotian ",028,5,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Norwegian,034,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Nuer,076,5,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,"Oromo, Afan Oromo, Oromiffa ",074,5,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Romanian,039,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Russian,040,9,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Somali,069,5,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Spanish,045,84,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,"Swahili, Kiswahili ",070,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Tigrinya,071,3,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Ukrainian,049,5,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,Vietnamese,051,28,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
